"Name","Amount","Month","State","Lead_Source","Converted"
"Wanda Brekke",479.537408581867,10,"Montana","Social Media",0
"Susanne O'Kon",1521.10331193521,1,"Montana","Employee Referral",0
"Teagan Bode",1230.46890517337,4,"Idaho","Advertisement",1
"Valentine Konopelski",746.140773385152,1,"Montana","Advertisement",0
"Kiana Jakubowski",519.514030502519,1,"Montana","Advertisement",0
"Ola Abernathy",1187.05260276251,7,"Montana","Advertisement",1
"Mrs. Diandra Kessler",920.017793646056,12,"Idaho","Social Media",0
"Mariam Beier",467.19452707686,11,"Indiana","Advertisement",0
"Jenelle Rempel MD",695.674006092263,3,"Montana","Employee Referral",0
"Bolden Treutel",971.176882751061,11,"Montana","Advertisement",0
"Lexi Reilly",588.954673725244,12,"Colorado","Social Media",0
"Mamie Sawayn",448.395465278916,12,"Colorado","Social Media",0
"Willian Cassin",712.725983980366,1,"Montana","Social Media",0
"Billye Herman-Murray",871.636453266849,6,"Idaho","Advertisement",1
"Ms. Tiffany Goldner MD",1748.21355638813,7,"Idaho","Advertisement",1
"Brenden Reinger I",517.506723326742,4,"Indiana","Advertisement",1
"Mr. Jennings Weber",719.284883390356,10,"Colorado","Advertisement",0
"Denisha Anderson",494.114936239678,9,"Montana","Advertisement",0
"Mr. Liam Corwin DVM",400.938761012067,4,"Idaho","Social Media",0
"Dr. Dixon Johnston I",997.602236499924,7,"Idaho","Employee Referral",0
"Dr. Kegan Rempel",316.435089037136,6,"Indiana","Advertisement",0
"Mavis Rosenbaum",689.10661516528,2,"Montana","Employee Referral",0
"Kallie Kreiger",875.810831504735,11,"Indiana","Advertisement",0
"Miss Shanon Greenfelder DVM",1147.19279125271,4,"Colorado","Social Media",0
"Arturo McGlynn",660.301776470203,9,"Indiana","Employee Referral",0
"Maurine Trantow",825.596265300042,12,"Idaho","Advertisement",0
"Wilhelmina Hane",276.757328896986,2,"Colorado","Advertisement",0
"Taja Harber",584.180920758061,4,"Indiana","Social Media",0
"Arjun Rempel",565.498440567133,10,"Indiana","Advertisement",1
"Ms. Lisette Heathcote",786.922311628073,4,"Montana","Advertisement",0
"Mrs. Concha O'Connell",506.8984828088,6,"Montana","Advertisement",1
"Almina Torphy",2739.62747209601,10,"Montana","Social Media",1
"Lanita Berge",1697.76031891928,5,"Montana","Advertisement",1
"Dr. Kody Hegmann II",762.358565520054,11,"Colorado","Employee Referral",0
"Chestina Stehr-Graham",1394.90124253739,9,"Indiana","Employee Referral",1
"Cheyenne Wolff",1374.21249068769,7,"Montana","Advertisement",0
"Octa Prosacco",543.319297930489,5,"Montana","Advertisement",1
"Casey Halvorson DDS",485.788347164686,1,"Colorado","Advertisement",0
"Madelene Nolan",769.402783953514,7,"Montana","Advertisement",0
"Ethyl Christiansen",751.653899850396,8,"Montana","Social Media",0
"Norwood McLaughlin V",1355.08675555722,12,"Colorado","Advertisement",0
"Algie Breitenberg",1476.37161644301,9,"Colorado","Social Media",1
"Phoenix Roberts",1182.58527884486,5,"Colorado","Employee Referral",1
"Beverley Mosciski DVM",1092.7742930814,6,"Indiana","Employee Referral",1
"Jabez Swift",627.638964645392,7,"Montana","Advertisement",0
"Gorden Smitham",685.25810282824,1,"Idaho","Social Media",0
"Dosha Stracke",371.843270373867,9,"Idaho","Employee Referral",0
"Pinkney Hamill",291.336153331956,9,"Idaho","Social Media",0
"Ben Fay",811.518081162377,4,"Colorado","Employee Referral",1
"Austin Crooks",728.160885671153,11,"Indiana","Employee Referral",0
"Raven Strosin",464.880211272173,4,"Idaho","Employee Referral",0
"Ms. Hedwig Conn DVM",540.39602669579,7,"Montana","Advertisement",1
"Raelyn Leannon-Wiegand",1055.20653723387,7,"Montana","Social Media",1
"Mardell Stiedemann",853.738185333973,12,"Montana","Employee Referral",0
"Stevie Ankunding",1967.20341898694,11,"Montana","Social Media",0
"Steward Stamm",744.85797183542,11,"Montana","Employee Referral",0
"Deloris Senger",1485.97077588465,2,"Indiana","Advertisement",0
"Male O'Conner",348.597749442517,7,"Indiana","Social Media",0
"Marilou Prosacco",640.744441990364,12,"Montana","Social Media",0
"Felton Bradtke",399.540754681176,2,"Idaho","Advertisement",0
"Victoriano Larkin",766.306768904634,2,"Montana","Advertisement",0
"Kristine Kreiger",1041.13703539726,3,"Montana","Employee Referral",1
"Guilford Denesik",302.86940746079,4,"Idaho","Employee Referral",0
"Edwina Armstrong",823.625235637976,4,"Colorado","Advertisement",0
"Margurite Hodkiewicz",587.506774516595,4,"Montana","Social Media",1
"Burnice Gleichner",730.875743404977,7,"Montana","Advertisement",1
"Love Veum",889.63704519391,7,"Indiana","Advertisement",1
"Harriett Kautzer DVM",729.196357690881,1,"Montana","Employee Referral",0
"Wenzel Rodriguez II",1245.90507389311,12,"Idaho","Social Media",0
"Dr. Dorris Volkman Sr.",1174.5763354919,5,"Montana","Social Media",0
"Carrol Nader",733.00575000665,11,"Colorado","Advertisement",0
"Vickie Hessel",1258.4257823981,3,"Montana","Employee Referral",1
"Bina Russel",495.638055368808,4,"Indiana","Advertisement",1
"Alayna Streich DVM",1002.53465496216,6,"Montana","Advertisement",1
"Kai Predovic",1623.0711140617,4,"Indiana","Advertisement",1
"Citlalli Leffler",547.443968444308,3,"Indiana","Advertisement",1
"Tamala Mueller",765.606566038924,8,"Indiana","Advertisement",1
"Bertram Bernhard",957.518514634968,11,"Montana","Advertisement",0
"Catherine Jenkins-Nienow",539.662992111468,1,"Indiana","Social Media",0
"Marcela O'Keefe",365.71303341419,10,"Indiana","Advertisement",0
"Jalen Kiehn-Berge",520.048960712139,8,"Idaho","Employee Referral",0
"Miss Vonda Mertz",335.150495595644,5,"Idaho","Advertisement",1
"Elton Okuneva",699.066817725712,3,"Montana","Employee Referral",1
"Augustus Bernhard",1200.82740845256,12,"Idaho","Social Media",0
"Etna Waters",1019.6862851783,7,"Indiana","Employee Referral",0
"Mr. Aydan Rodriguez",1403.06911917892,11,"Montana","Employee Referral",0
"Miss China Satterfield",774.995350711267,12,"Montana","Advertisement",0
"Alexande Kovacek",960.378953783197,3,"Montana","Employee Referral",0
"Shep Langosh",1270.03486514661,12,"Colorado","Advertisement",0
"Mrs. Savanna Shanahan DDS",419.35094110501,5,"Idaho","Social Media",0
"Ignacio Gutkowski",1742.00718542794,2,"Indiana","Advertisement",0
"Darrien Mayert-Cartwright",227.735707383976,8,"Indiana","Employee Referral",0
"Olie Price",359.760655080101,12,"Colorado","Advertisement",0
"Francesca Bernier",1031.22329073907,9,"Indiana","Advertisement",1
"Josh Jakubowski",1704.87034925099,3,"Montana","Advertisement",1
"Karyl Kuvalis DDS",435.637790930683,8,"Idaho","Employee Referral",0
"Osvaldo Moore",404.999857614683,10,"Idaho","Employee Referral",1
"Hjalmer Koelpin",364.065547327861,1,"Montana","Advertisement",0
"Odelia Fritsch",916.356609198649,3,"Idaho","Advertisement",0
"Benjaman Steuber",606.967888486673,10,"Indiana","Advertisement",1
"Alice Moen",865.315223745267,11,"Montana","Social Media",0
"Lambert Bergstrom",426.208105217386,5,"Montana","Employee Referral",0
"Mr. Pearley Kunze",1607.30101412591,8,"Indiana","Advertisement",1
"Dr. Dayanara Cruickshank PhD",605.721103927474,3,"Indiana","Advertisement",0
"Dr. Roy McGlynn",2250.98787476341,6,"Indiana","Advertisement",1
"Mohammad Brekke MD",788.227593038816,8,"Colorado","Social Media",1
"Gaetano Boyle",887.471924466474,2,"Indiana","Advertisement",0
"Mr. Brandon Jakubowski II",667.315683583361,11,"Montana","Advertisement",0
"Malik Luettgen-Labadie",469.365285409906,9,"Idaho","Employee Referral",1
"Miss Clarabelle Davis PhD",1074.27428763373,9,"Montana","Advertisement",1
"Rosey Ledner",503.152960278543,5,"Colorado","Employee Referral",0
"Mr. Benjiman Lakin",1631.99619020381,4,"Idaho","Advertisement",0
"Alcee Skiles",769.513861771645,5,"Indiana","Advertisement",0
"Mr. Reggie Dibbert",592.803330936046,8,"Idaho","Advertisement",1
"Irvine Champlin",1181.79421305475,12,"Indiana","Advertisement",0
"Dangelo Schroeder",620.999825401989,3,"Montana","Advertisement",0
"Sherwin Klein",730.033588013606,1,"Indiana","Advertisement",0
"Mariel Emmerich",766.077534676346,7,"Montana","Advertisement",1
"Carmen Pagac DVM",596.908110479713,10,"Idaho","Advertisement",0
"Miss Venice Heidenreich",1633.00115025403,7,"Montana","Advertisement",1
"Waylon Heathcote",1116.96244101398,5,"Idaho","Employee Referral",0
"Dorothy Kuhlman",463.118418455296,11,"Montana","Employee Referral",0
"Rolando Steuber III",684.908702748091,5,"Montana","Advertisement",1
"Karren Franecki-Schimmel",1218.37404591339,12,"Montana","Advertisement",0
"Janiah Gutkowski",509.357421630826,10,"Indiana","Advertisement",0
"Humberto Nicolas",773.256687728878,10,"Idaho","Advertisement",0
"Daunte Herman",1206.59636503392,12,"Montana","Advertisement",0
"Mr. Verne Fritsch",1089.6225845198,2,"Indiana","Employee Referral",0
"Cami Kassulke-King",1101.44536528545,8,"Indiana","Social Media",1
"Luverne Jakubowski",592.042350815051,12,"Montana","Advertisement",0
"Garrison Labadie",709.702188177342,3,"Montana","Advertisement",1
"Harvy Gusikowski",766.011295743279,4,"Colorado","Advertisement",0
"Makaila Cartwright-Ruecker",753.649028475362,10,"Montana","Employee Referral",0
"Mr. Alexandro Macejkovic",678.993994107754,12,"Indiana","Advertisement",0
"Dr. Anders Swift II",410.987626880943,10,"Montana","Advertisement",0
"Cedric Wolff",2199.27108766887,6,"Indiana","Advertisement",1
"Ben Gottlieb DDS",319.622422671058,7,"Idaho","Advertisement",0
"Furman Boehm",1044.47444702323,5,"Indiana","Social Media",1
"Miss Sandi Vandervort MD",457.594925296761,9,"Colorado","Employee Referral",0
"Jaylah Kub",1405.3908717737,11,"Montana","Advertisement",0
"Carolina Wilkinson",392.180960815108,11,"Montana","Employee Referral",0
"Mr. Keion D'Amore",387.121774175341,8,"Montana","Advertisement",1
"Jack Nolan",960.121810088066,7,"Idaho","Employee Referral",0
"Winston Klocko",709.779970947848,6,"Idaho","Employee Referral",0
"Odell Heaney",1389.8763170788,3,"Montana","Employee Referral",0
"Raiden Kuhic",459.673864336711,1,"Montana","Advertisement",0
"Linnea Hilpert",727.254816170151,6,"Idaho","Advertisement",0
"Jerod Ratke Jr.",733.245072330917,11,"Indiana","Employee Referral",0
"Lisbeth Reinger",2295.91053191504,12,"Montana","Advertisement",0
"Cale Orn",1546.67018194212,3,"Montana","Social Media",1
"Stacie Corkery",983.508534328226,7,"Indiana","Employee Referral",0
"Karan Gerhold",692.391668224243,11,"Indiana","Advertisement",0
"Annabel Flatley",916.977101797521,11,"Idaho","Advertisement",0
"Ms. Ilo Berge",633.081044543173,3,"Montana","Advertisement",1
"Ms. Daniele Keebler DDS",1960.49582225375,1,"Montana","Advertisement",0
"Laurance Wilderman",808.274243933698,8,"Indiana","Advertisement",0
"Mr. Kent Volkman MD",579.96368262591,8,"Montana","Advertisement",1
"Gerhard Gerhold-Jacobson",1367.38613277714,11,"Montana","Advertisement",0
"Trenton Wiegand",1734.05740803299,5,"Montana","Employee Referral",1
"Neal Grimes-Klocko",1740.87130887212,9,"Montana","Social Media",1
"Christoper Zemlak",623.337224987418,8,"Indiana","Advertisement",1
"Mr. Christ Koss",1084.45612872071,6,"Indiana","Advertisement",1
"Citlalli Gorczany",1537.89703094748,5,"Montana","Social Media",1
"Blas Hettinger",1121.01111760074,4,"Montana","Advertisement",1
"Dr. Lala Torphy",940.98189356343,8,"Indiana","Advertisement",0
"Dr. Marsha Rodriguez MD",2915.84510089634,5,"Montana","Advertisement",1
"Jessika Herzog-Gislason",586.271186053438,1,"Montana","Employee Referral",0
"Arnav Kuphal",569.925589618339,7,"Montana","Advertisement",0
"Miss Mickey Schinner PhD",435.373092756496,10,"Montana","Advertisement",1
"Ms. Laquita Renner",877.662018408743,5,"Indiana","Advertisement",1
"Bettylou Kihn",2611.47894971735,6,"Montana","Advertisement",1
"Alethea Russel",471.897085300201,9,"Indiana","Employee Referral",0
"Kitty Goodwin",837.824922479744,10,"Indiana","Employee Referral",1
"Elinore Lebsack-Dietrich",695.84731335334,2,"Indiana","Advertisement",0
"Akira O'Keefe-Larson",2235.97961607627,5,"Montana","Employee Referral",1
"Nolia Luettgen PhD",681.004762845636,8,"Indiana","Social Media",1
"Immanuel Ortiz",684.981634388353,5,"Montana","Advertisement",0
"Sanford Swaniawski",667.549620517131,8,"Montana","Employee Referral",0
"Ardell Rippin",581.021280428805,7,"Colorado","Advertisement",0
"Rolanda McGlynn",728.618543209465,8,"Montana","Advertisement",0
"Dr. Mikala Koelpin MD",588.484769066521,11,"Idaho","Advertisement",0
"Mrs. Jolette Bosco PhD",1091.99164023573,4,"Montana","Employee Referral",1
"Trilby Mante",279.053248572366,7,"Indiana","Employee Referral",0
"Posey Feil",761.707429689074,10,"Montana","Advertisement",1
"Mr. Aime Denesik",1968.34458504356,5,"Indiana","Employee Referral",1
"Miss Kyara Kuvalis",1275.54027224713,1,"Colorado","Social Media",0
"Davina Nicolas PhD",542.32539975192,10,"Montana","Employee Referral",1
"Estel Durgan",365.685084958807,8,"Montana","Advertisement",0
"Cornelious Schultz",422.435541438366,2,"Montana","Advertisement",0
"Minnie Ebert",554.054247671401,10,"Montana","Employee Referral",0
"Dakoda Gleichner DVM",621.170287496728,9,"Montana","Advertisement",1
"Jerrod Bogisich Sr.",1103.70906863894,2,"Montana","Employee Referral",0
"Unknown Deckow",517.564371758397,6,"Indiana","Employee Referral",0
"Anneliese DuBuque",501.220902066139,1,"Idaho","Advertisement",0
"Menachem Walter",1666.82873700998,7,"Montana","Employee Referral",1
"Dr. Sammy Berge",975.503500443915,3,"Montana","Social Media",1
"Daria Bechtelar",1827.57449108153,7,"Montana","Employee Referral",1
"Isom Wolff",446.032527707111,12,"Colorado","Employee Referral",0
"Cade Mayert",638.559003801537,5,"Idaho","Advertisement",1
"Lucio Morissette-Hartmann",1495.18413471337,11,"Montana","Advertisement",0
"Dr. Leonel Senger Jr.",452.412469859119,9,"Idaho","Advertisement",0
"Dr. Marylee Spencer PhD",1577.5704411824,6,"Indiana","Social Media",1
"Evan Witting-Nicolas",784.846093504808,11,"Montana","Advertisement",0
"Lilyanna Fay",1869.64949655592,12,"Idaho","Social Media",0
"Miss Glenda Klein MD",786.673491649075,1,"Montana","Social Media",0
"Littleton Huels",1257.49126413819,4,"Idaho","Advertisement",1
"Luvenia Langworth",653.834608637028,11,"Montana","Employee Referral",0
"Shon Stanton",529.922178267872,4,"Montana","Advertisement",0
"Kem Kuvalis",1084.99933941647,7,"Idaho","Advertisement",1
"Maggie Hettinger",675.886478276439,11,"Montana","Social Media",0
"Brook Cartwright",999.383901419536,3,"Montana","Advertisement",1
"Nila Ankunding",1198.29235164639,4,"Indiana","Advertisement",1
"Ardelle Rodriguez DVM",1183.39407444924,5,"Montana","Social Media",0
"Mr. Roderic Bartell Sr.",451.431604670855,4,"Indiana","Advertisement",1
"Ardath Maggio",2153.73729455489,7,"Idaho","Advertisement",1
"Misael Armstrong-Trantow",526.506822151561,4,"Indiana","Advertisement",0
"Mr. Willam Moore",1262.09561834507,7,"Montana","Advertisement",1
"Ms. Lizabeth Hartmann MD",494.217088059537,4,"Montana","Advertisement",0
"Archie Bode",404.311736213414,3,"Montana","Advertisement",1
"Mr. Alek Jacobson I",844.492258894056,8,"Indiana","Advertisement",1
"Fernanda Sauer",710.554123757614,1,"Montana","Employee Referral",0
"Dennis Quitzon",792.761807119208,12,"Colorado","Advertisement",0
"Dell Rath",455.598301401299,10,"Montana","Social Media",0
"Fremont Donnelly",1435.17736847371,1,"Indiana","Advertisement",0
"Miss Guadalupe Bernhard MD",1235.36680199519,6,"Idaho","Advertisement",1
"Delinda Eichmann",392.292300472879,3,"Colorado","Employee Referral",1
"Joselin Schumm",473.341308622188,12,"Colorado","Advertisement",0
"Lyla Murazik",1117.62780540917,2,"Idaho","Advertisement",0
"Chuck Hand DDS",467.365549245384,2,"Montana","Advertisement",0
"Sonja VonRueden",415.833021082354,6,"Indiana","Advertisement",0
"Huy Bayer",1439.31949304874,5,"Montana","Employee Referral",1
"Makhi Zulauf-Walter",1033.39060021377,4,"Montana","Advertisement",1
"Lexie Brekke",1152.65639376162,10,"Montana","Advertisement",1
"Jayson Lehner Sr.",569.029751519684,5,"Indiana","Social Media",0
"Dr. Randel Beatty",384.846556483192,5,"Montana","Employee Referral",1
"Flint Spencer-Walsh",954.788271361861,5,"Colorado","Employee Referral",0
"Madalyn Emard",647.547608671039,2,"Montana","Advertisement",0
"Dr. Sherman Bauch",871.624938357195,12,"Indiana","Social Media",0
"Zeta Haley MD",1136.84412710885,1,"Indiana","Social Media",0
"Delinda Mraz",625.446447010463,8,"Montana","Advertisement",0
"Garry McGlynn",573.488984354376,3,"Idaho","Advertisement",1
"Carlee Senger DVM",223.175782700781,11,"Montana","Advertisement",0
"Holland Hudson",1707.4664767699,6,"Indiana","Advertisement",0
"Lester McGlynn",408.135997558802,4,"Montana","Advertisement",1
"Kayleen Padberg",873.311324362615,9,"Idaho","Advertisement",0
"Carleton Bartoletti",829.013561405176,6,"Idaho","Advertisement",1
"Lorrayne Ward",663.427507813703,12,"Montana","Social Media",0
"Eliana Altenwerth",622.677098086504,2,"Indiana","Advertisement",0
"Mr. Brandon Leffler DDS",1750.18001774053,12,"Montana","Advertisement",0
"Dr. Evertt Smitham III",830.70100325087,7,"Montana","Advertisement",1
"Sanjuana Sauer",664.021632907943,9,"Indiana","Advertisement",1
"Taraji Funk-Hammes",735.625239196617,7,"Idaho","Social Media",0
"Anastacio Muller PhD",1247.53143175623,1,"Montana","Employee Referral",0
"Kasey Keeling",776.618042197777,1,"Montana","Employee Referral",0
"Doctor Barrows",1846.87919049271,12,"Idaho","Advertisement",0
"Iridian Crooks",1162.71760857473,3,"Indiana","Social Media",1
"Elizebeth Friesen MD",1979.28240084656,9,"Montana","Employee Referral",1
"Mr. Omer Bradtke",1400.28898378032,3,"Indiana","Advertisement",0
"Mr. Zayne Cole Sr.",749.299987452263,6,"Colorado","Social Media",1
"Santiago Walter",1250.96008394041,5,"Indiana","Advertisement",0
"Mrs. Eris Hansen MD",1193.1593138162,12,"Indiana","Advertisement",0
"Orvil D'Amore",740.741067032325,3,"Montana","Social Media",1
"Mr. Kody Kling DDS",610.983739714469,9,"Indiana","Employee Referral",0
"Miss Jaylee Stamm PhD",790.265627802055,4,"Idaho","Social Media",0
"Mr. Dakotah Bednar MD",1095.68526150357,1,"Indiana","Employee Referral",0
"Stacy Monahan-Collins",453.788555311957,5,"Montana","Employee Referral",0
"Dasia Deckow",1103.11947448128,1,"Idaho","Social Media",0
"Zana Nienow-Dare",758.997155778402,2,"Idaho","Advertisement",0
"Mr. Lex Swift",835.329963151541,2,"Montana","Social Media",0
"Charlene Howe",1039.25936489703,4,"Indiana","Advertisement",0
"Jamey Bogan",523.134133803953,2,"Montana","Social Media",0
"Vonda Walker",1072.29344741245,3,"Indiana","Social Media",1
"Ms. Yetta Ritchie DVM",549.219854774559,4,"Montana","Social Media",0
"Larkin Miller",440.850500726551,4,"Montana","Employee Referral",0
"Jace Hayes I",1093.12376400879,5,"Indiana","Advertisement",0
"Arman DuBuque",612.31726890326,3,"Indiana","Advertisement",0
"Gilberto Schroeder",622.272288547789,7,"Colorado","Employee Referral",0
"Dr. Ina Olson DVM",431.739771732514,4,"Montana","Employee Referral",0
"Burns Boyle",1390.76917616089,5,"Colorado","Employee Referral",1
"Dr. Sandie Torp DVM",872.346146023653,3,"Montana","Advertisement",1
"Regan Conn",822.539865598647,7,"Montana","Advertisement",1
"Dr. Creola Fadel",569.858308006936,4,"Montana","Advertisement",0
"Latarsha McKenzie DDS",300.328350928748,7,"Montana","Advertisement",1
"Maebelle Haley",741.737025958837,6,"Idaho","Employee Referral",0
"Benjamin Crona",290.148438412245,11,"Idaho","Employee Referral",0
"Ryann Zulauf",782.990341788538,2,"Indiana","Social Media",0
"Mrs. Larue Crona PhD",690.490426466533,6,"Montana","Social Media",1
"Mr. Tyriq Beahan MD",491.417150078924,6,"Indiana","Employee Referral",0
"Shelva Dietrich",415.076750170184,2,"Indiana","Social Media",0
"Annabel Schowalter",770.802994039679,1,"Indiana","Advertisement",0
"Spurgeon Funk-Rolfson",1131.24484057179,9,"Montana","Social Media",1
"Gigi Rosenbaum DDS",281.389080439315,9,"Montana","Social Media",0
"Ronald Beahan",462.862498543039,2,"Colorado","Social Media",0
"Julia Fay",624.819735463765,6,"Montana","Employee Referral",1
"Dr. Nya Smith PhD",371.47258300798,2,"Idaho","Advertisement",0
"Miss Aleena Larson",423.526453938909,1,"Montana","Advertisement",0
"Kala Medhurst",984.785694704658,1,"Idaho","Employee Referral",0
"Bertha Franecki-Purdy",756.960376033416,7,"Idaho","Advertisement",1
"Delcie Simonis",790.737773223897,5,"Montana","Employee Referral",1
"Foy Kozey MD",1518.24513007258,12,"Montana","Social Media",0
"Consuelo Rosenbaum",593.845303669064,6,"Montana","Advertisement",1
"Rueben Daniel Sr.",489.788340600561,1,"Colorado","Employee Referral",0
"Mame Stamm",332.728463095054,7,"Colorado","Advertisement",0
"Bobbie Thompson",873.425991715583,4,"Indiana","Advertisement",1
"Mr. Yahir Metz",509.830938067897,2,"Idaho","Employee Referral",0
"Levern Weber",704.652586852812,2,"Idaho","Advertisement",0
"Clem Koch",697.635272377242,8,"Colorado","Employee Referral",0
"Vernon Rodriguez",810.776145137903,11,"Montana","Advertisement",0
"Eppie Mills DVM",487.064680128925,7,"Montana","Advertisement",1
"Rod Hartmann",674.239006136279,9,"Montana","Advertisement",1
"Deandre DuBuque",419.658588736382,11,"Colorado","Social Media",0
"Luberta Keebler",687.303880191043,6,"Colorado","Advertisement",0
"Mallie Farrell DDS",754.987048710647,7,"Montana","Advertisement",1
"Giovanny Mosciski",356.879536594359,8,"Indiana","Employee Referral",0
"Gerrit Kuphal",590.19628510159,8,"Idaho","Employee Referral",1
"Marlys Bergstrom",577.416543463288,11,"Montana","Advertisement",0
"Trumaine Morar",1078.63560443799,7,"Montana","Advertisement",0
"Mr. Derrek Shields",717.440478742163,8,"Indiana","Advertisement",0
"Vonnie Powlowski",909.491355131994,1,"Idaho","Social Media",0
"Rene Gibson-Yundt",543.356421295633,5,"Indiana","Employee Referral",1
"Merle Sanford",736.521987130501,12,"Montana","Advertisement",0
"Cullen Gutkowski-Wolff",889.663434271115,9,"Montana","Advertisement",1
"Dr. Nicklaus Reichel",768.654667497604,2,"Montana","Employee Referral",0
"Schuyler Monahan",994.949228695212,5,"Idaho","Advertisement",0
"Dr. Orion Brown",587.221747128736,11,"Idaho","Social Media",0
"Rashad Schuster",574.249961932709,5,"Idaho","Advertisement",1
"Kenisha Deckow",896.783601766476,9,"Idaho","Advertisement",0
"Dr. Zavion Rau",447.348251846545,8,"Colorado","Advertisement",0
"Jordin Cronin",997.610920540753,11,"Indiana","Advertisement",0
"Mr. Erwin Shanahan II",1468.99121124381,5,"Indiana","Advertisement",0
"Vick Kihn",852.735687310411,4,"Montana","Employee Referral",1
"Anibal Schmitt",1316.5609606879,4,"Montana","Employee Referral",1
"Rae Dooley",722.723672854596,4,"Montana","Advertisement",0
"Ansley Padberg-Batz",899.92163821108,4,"Colorado","Advertisement",1
"Clara Kohler",1320.81981457181,7,"Idaho","Advertisement",0
"Jaylyn Lebsack",1791.75953183194,5,"Montana","Social Media",1
"Jeb Hintz",524.363860435954,1,"Colorado","Social Media",0
"Dr. Isaak Johns",549.288189710043,12,"Montana","Employee Referral",0
"Brendan Pacocha",952.189506494114,7,"Montana","Employee Referral",1
"Damarion Bechtelar",2101.09657539474,8,"Indiana","Advertisement",1
"Dr. Kathleen Zboncak DVM",752.170482543784,1,"Idaho","Employee Referral",0
"West VonRueden",697.528616631183,9,"Montana","Employee Referral",1
"Marely Wuckert PhD",886.194085544347,5,"Indiana","Employee Referral",1
"Dian Doyle",1012.75925551057,10,"Indiana","Advertisement",1
"Rocio Tillman",826.29533900944,4,"Colorado","Advertisement",0
"Miss Ariane Langworth",324.963018515344,2,"Indiana","Advertisement",0
"Juwan Stracke",2062.64230342593,2,"Idaho","Employee Referral",0
"Torrey Schoen",768.129190087669,8,"Idaho","Advertisement",0
"Eustace Stehr",530.859058046191,7,"Idaho","Advertisement",1
"Buna Lemke PhD",161.83373375724,9,"Montana","Advertisement",0
"Charly Stanton",648.30540162255,4,"Colorado","Social Media",0
"Mr. Tyree Bailey",889.204819097588,2,"Indiana","Social Media",0
"Demarco Treutel",908.092822680421,6,"Indiana","Advertisement",1
"Elbert Nienow",592.408487561613,12,"Indiana","Advertisement",0
"Dr. Felton Thiel III",551.741064764154,4,"Montana","Advertisement",1
"Miss Shari Goodwin",337.912694252468,9,"Indiana","Employee Referral",0
"Rodrigo Zieme",456.100958545214,12,"Montana","Advertisement",0
"Alicia Graham",715.867116141363,12,"Montana","Social Media",0
"Dr. Hunter Haag",1131.49117973796,11,"Montana","Advertisement",0
"Migdalia Sporer",1108.68418611814,2,"Idaho","Social Media",0
"Ellsworth Lowe",416.997187062038,12,"Indiana","Advertisement",0
"Ms. Rashida Kunde",767.725136694922,10,"Colorado","Employee Referral",1
"Adriene Brekke",580.626161760817,5,"Montana","Advertisement",0
"Mrs. Amaya Jacobi DDS",427.476716764605,12,"Indiana","Employee Referral",0
"Aloys Hane-Haag",664.53065802191,2,"Indiana","Advertisement",0
"Devin Hayes",1115.06881336497,3,"Montana","Advertisement",1
"Terence Goodwin",424.795981402521,6,"Indiana","Employee Referral",0
"Mr. Thaddeus Yost DVM",1523.48113294576,11,"Idaho","Advertisement",0
"Dr. Deward Prosacco",1363.02350571964,12,"Montana","Employee Referral",0
"Dr. Dorthea Hickle",730.155140918211,8,"Montana","Advertisement",1
"Mr. Hadley Keeling III",1334.06321980547,7,"Montana","Advertisement",0
"Dr. Bishop Nienow Jr.",802.485396662854,2,"Montana","Social Media",0
"Grafton Kutch",735.480305484935,5,"Montana","Social Media",1
"Laila Schoen",636.505510315307,2,"Montana","Social Media",0
"Erik Berge",344.167462747945,9,"Indiana","Employee Referral",0
"Biddie Larson",219.79152703738,1,"Montana","Advertisement",0
"Burt Mann",1297.30156393447,12,"Colorado","Advertisement",0
"Mrs. Reina Weissnat DVM",349.386300803117,2,"Indiana","Employee Referral",0
"Livia Shanahan DVM",936.921245252923,11,"Montana","Advertisement",0
"Earlie Fisher",798.282795485878,6,"Idaho","Advertisement",0
"Maleah Baumbach DVM",622.116065250494,3,"Idaho","Advertisement",1
"Metta Hahn",1060.34233587372,6,"Montana","Employee Referral",1
"Dr. Wade Lockman DVM",492.218101937555,4,"Montana","Employee Referral",0
"Rey Stoltenberg DVM",1497.6890759403,3,"Idaho","Social Media",0
"Channie Beer",583.880455382538,12,"Montana","Social Media",0
"Lindy Berge",401.040560691859,5,"Montana","Advertisement",1
"Dr. Wilber Wyman",1384.43682671588,2,"Indiana","Advertisement",0
"Janiya Parker",955.002990822565,12,"Indiana","Advertisement",0
"Johnnie Kerluke",1475.07288317914,4,"Indiana","Employee Referral",1
"Dr. Virgie Bartoletti",473.555008565342,8,"Colorado","Employee Referral",1
"Thompson Rolfson MD",629.095111540909,5,"Montana","Advertisement",1
"Acey Green Jr.",842.684601172043,6,"Indiana","Social Media",0
"Governor Rippin",1259.43877690462,6,"Colorado","Advertisement",0
"Almeta Terry",1100.666831392,6,"Indiana","Employee Referral",1
"Mrs. Bree Wolf",2771.2030534488,10,"Indiana","Advertisement",1
"Vashon Breitenberg",757.30477214592,6,"Montana","Social Media",1
"Elianna Keebler-Cruickshank",1134.61099974373,2,"Colorado","Employee Referral",0
"Tabitha Schumm",733.838349833165,10,"Montana","Advertisement",1
"Prentiss Connelly",649.092588125012,9,"Montana","Employee Referral",0
